單字,詞性,中文解釋,例句,例句翻譯
attempt,n.,嘗試,His first attempt at solving the math problem was unsuccessful.,他第一次嘗試解決那個數學問題沒有成功。
alternative,n.,替代方案,There are several alternative routes to avoid the traffic jam.,有幾條替代路線可以避開塞車。
arbitrary,adj.,任意的,The rules seemed arbitrary and unfair to the students.,這些規則對學生來說似乎是任意且不公平的。
conceive,v.,構想,She conceived a brilliant idea for her science project.,她為她的科學專案構想出一個絕妙的主意。
device,n.,裝置；設備,Smartphones are essential communication devices today.,智慧型手機是當今必不可少的通訊設備。
constrain,v.,限制；束縛,Tight deadlines often constrain students' creativity.,緊迫的截止日期常限制學生的創造力。
foresee,v.,預見,It's difficult to foresee all the challenges we might face in the future.,很難預見我們未來可能面臨的所有挑戰。
applaud,v.,鼓掌,The audience enthusiastically applauded the students' performance.,觀眾熱情地為學生的表演鼓掌。
attain,v.,達到,She worked hard to attain her goal of getting into a top university.,她努力工作以達到進入頂尖大學的目標。
initial,adj.,最初的；開始的,My initial reaction was surprise when I heard the news.,聽到這個消息時，我最初的反應是驚訝。
coincide,v.,同時發生,Her birthday happens to coincide with a major national holiday this year.,今年她的生日恰好與一個重要的國定假日同時發生。
crucial,adj.,關鍵的；重要的,Getting enough sleep is crucial for your health and academic performance.,充足的睡眠對你的健康和學業表現至關重要。
legitimate,adj.,合法的,Is this online store a legitimate business, or is it a scam?,這家網路商店是合法的企業，還是詐騙？
immune,adj.,免疫的,接種疫苗可以使身體對某些疾病產生免疫力。,Vaccination can make the body immune to certain diseases.
excel,v.,擅長,She excels in both academics and sports.,她在學業和體育方面都表現出色。
impose,v.,施加,The government decided to impose stricter regulations on environmental pollution.,政府決定對環境污染實施更嚴格的法規。
clarify,v.,闡明,Could you please clarify your instructions for the assignment?,你能否請闡明你對這項作業的指示？
acknowledge,v.,承認,感謝,The student acknowledged her teacher's help in preparing for the exam.,這位學生感謝老師在準備考試時的幫助。
envision,v.,展望,She envisions a future where technology helps solve global challenges.,她展望一個科技有助於解決全球挑戰的未來。
impede,v.,阻礙,缺乏資金將阻礙研究的進展。,Lack of funds will impede the progress of the research.
perpetual,adj.,永久的,The perpetual noise from the construction site was very annoying.,建築工地持續不斷的噪音非常惱人。
curiosity,n.,好奇心,His curiosity about space led him to read many books on astronomy.,他對太空的好奇心促使他閱讀了許多關於天文學的書籍。
conduct,v.,進行；實施,The students conducted a survey to find out their classmates' favorite subjects.,學生們進行了一項調查，以找出他們同學最喜歡的科目。
authority,n.,權威；當局,The principal has the authority to make important decisions for the school.,校長有權為學校做出重要決定。
converge,v.,匯聚；趨同,All the roads converge at the city center.,所有的道路都在市中心匯聚。
enumerate,v.,列舉,Before starting, let me enumerate the main points of my presentation.,在開始之前，讓我列舉一下我簡報的重點。
benevolent,adj.,仁慈的,The benevolent principal often helped students in need.,那位仁慈的校長經常幫助有需要的學生。
correspond,v.,符合；通信,Your explanation doesn't correspond with the facts presented in the book.,你的解釋與書中呈現的事實不符。
eligible,adj.,合格的,Only students with a GPA above 3.5 are eligible for the scholarship.,只有平均成績在3.5以上的學生才有資格獲得獎學金。
individual,n.,個人,Each individual in the class has a unique learning style.,班上每個個體都有獨特的學習風格。
identify,v.,識別；認出,Can you identify the main idea of this article?,你能識別這篇文章的主旨嗎？
analyze,v.,分析,The scientist needs to analyze the data carefully to draw conclusions.,科學家需要仔細分析數據才能得出結論。
escalate,v.,升高,Tensions between the two countries escalated after the incident.,事件發生後，兩國之間的緊張關係升級。
confident,adj.,有信心的,She is confident that she will pass the entrance exam.,她對自己能通過入學考試很有信心。
appreciate,v.,欣賞；感謝,Students should appreciate the efforts teachers make to help them learn.,學生應該感謝老師為幫助他們學習所做的努力。
facilitate,v.,促進；使便利,Technology can facilitate communication among people.,科技可以促進人與人之間的溝通。
eliminate,v.,消除；淘汰,We need to eliminate distractions to focus on our studies.,我們需要消除干擾才能專心學習。
contrast,n.,對比,In contrast to his brother, he is very shy.,與他哥哥相反，他非常害羞。
prioritize,v.,優先處理,學測前夕，學生需要學會優先處理最重要的科目。,Before the GSAT, students need to learn to prioritize the most important subjects.
immerse,v.,使沉浸,他喜歡沉浸在書本的世界中，忘記周遭的一切。,He likes to immerse himself in the world of books, forgetting everything around him.
contact,n.,聯繫,Please keep in contact after you graduate.,畢業後請保持聯繫。
hinder,v.,阻礙,Heavy rain hindered our progress during the hiking trip.,大雨阻礙了我們徒步旅行的進度。
acquire,v.,獲得,Students can acquire new knowledge by reading extensively.,學生可以透過大量閱讀來獲得新知識。
dynamic,adj.,動態的,The job market is very dynamic, always changing with new trends.,就業市場非常動態，總是不斷隨著新趨勢變化。
construct,v.,建造；構成,The students will construct a model of the solar system for their science project.,學生將為他們的科學專案建造一個太陽系模型。
evidence,n.,證據；證明,There is no clear evidence to support his claim.,沒有明確的證據支持他的說法。
define,v.,定義,"Can you define the term ""photosynthesis"" in your own words?",你能用自己的話定義「光合作用」這個詞嗎？
concurrent,adj.,同時發生的,The two events were concurrent, so I couldn't attend both.,這兩個活動同時發生，所以我無法兩者都參加。
curriculum,n.,課程；課程計畫,The school is updating its curriculum to include more digital literacy courses.,學校正在更新課程，以納入更多數位素養課程。
comprehensive,adj.,全面的,The history textbook provides a comprehensive overview of the subject.,這本歷史教科書提供了該主題的全面概述。
disclose,v.,揭露,The company refused to disclose the details of the new product.,該公司拒絕透露新產品的細節。
accelerate,v.,加速,The car accelerated quickly as it entered the highway.,汽車進入高速公路後迅速加速。
despite,prep.,儘管,Despite the rain, the outdoor concert went ahead as planned.,儘管下雨，戶外音樂會仍按計劃進行。
comprehend,v.,理解,It took him a while to fully comprehend the complex theory.,他花了一段時間才完全理解這個複雜的理論。
inquire,v.,詢問,她打電話到圖書館詢問借書的規定。,She called the library to inquire about the rules for borrowing books.
deprive,v.,剝奪,Lack of sleep can deprive students of their ability to concentrate.,睡眠不足會剝奪學生專注的能力。
qualify,v.,使有資格,Her excellent grades qualified her for a scholarship to a top university.,她優異的成績使她有資格獲得頂尖大學的獎學金。
inform,v.,通知,Please inform the school office if you will be absent.,如果你將缺席，請通知學校辦公室。
complement,v.,補充,使完善,Her artistic skills complement his technical expertise perfectly.,她的藝術技能完美地補充了他的技術專長。
undertake,v.,承擔,他承擔了監督整個專案的任務。,He undertook the task of overseeing the entire project.
complex,adj.,複雜的,The human brain is an incredibly complex organ with billions of neurons.,人腦是一個擁有數十億神經元的極其複雜的器官。
consequence,n.,結果；後果,Failing to study will have negative consequences on your grades.,不讀書會對你的成績產生負面影響。
conventional,adj.,傳統的,Many students prefer conventional textbooks over digital ones.,許多學生偏好傳統教科書而非數位教科書。
administer,v.,管理；執行,The school will administer a new grading system next semester.,學校下學期將實施新的評分系統。
consider,v.,考慮,Please consider all options before making a decision.,請在做決定之前考慮所有選項。
incentive,n.,誘因,公司提供獎金作為員工努力工作的誘因。,The company offers bonuses as an incentive for employees to work hard.
entitle,v.,賦予權利,Your student ID card entitles you to discounts at various stores.,你的學生證賦予你在多家商店享有折扣的權利。
fragile,adj.,脆弱的,The antique vase was very fragile, so we handled it with care.,這個古董花瓶非常脆弱，所以我們小心翼翼地處理它。
assert,v.,堅稱,He asserted that he had done nothing wrong and was innocent.,他堅稱自己沒有做錯任何事，是無辜的。
adapt,v.,適應；改編,It's important to adapt to new environments quickly.,快速適應新環境很重要。
boost,v.,提升；促進,Exercising regularly can boost your energy levels and mood.,規律運動可以提升你的能量水平和情緒。
concern,n.,關心；擔憂,Environmental protection is a major concern for many young people.,環境保護是許多年輕人主要關心的問題。
cite,v.,引用,Students must cite their sources properly in academic papers.,學生在學術論文中必須正確引用資料來源。
concept,n.,概念,Understanding the core concept is essential before diving into the details.,在深入細節之前，理解核心概念是至關重要的。
approach,n.,方法；途徑,The teacher introduced a new approach to solving math problems.,老師介紹了一種解決數學問題的新方法。
intimate,adj.,親密的,他們是親密的朋友，分享彼此所有的秘密。,They are intimate friends, sharing all their secrets with each other.
coherent,adj.,連貫的；條理清楚的,Your essay needs to have a coherent argument from beginning to end.,你的論文需要從頭到尾都有連貫的論點。
stimulate,v.,刺激,這部電影刺激了我們對太空探索的興趣。,This movie stimulated our interest in space exploration.
manipulate,v.,操縱,Some politicians try to manipulate public opinion through social media.,一些政治人物試圖透過社群媒體操縱輿論。
indigenous,adj.,原生的,台灣有許多原生的植物和動物物種。,Taiwan has many indigenous plant and animal species.
erode,v.,侵蝕,Soil erosion is a serious environmental problem in some areas.,土壤侵蝕在某些地區是一個嚴重的環境問題。
insight,n.,洞察力,這本書提供了對人類行為的深刻洞察力。,This book offers profound insight into human behavior.
challenge,n.,挑戰,Learning a new language can be a real challenge, but it's rewarding.,學習一門新語言可能是一個真正的挑戰，但很有收穫。
embody,v.,體現；具體化,The new building embodies the modern architectural style.,這棟新建築體現了現代建築風格。
foster,v.,培養；促進,Our school aims to foster creativity and critical thinking among students.,我們學校旨在培養學生的創造力和批判性思維。
frequent,adj.,頻繁的,Power outages are a frequent problem in this old neighborhood.,停電是這個老社區常見的問題。
campaign,n.,活動；運動,Our school launched a campaign to promote reading.,我們學校發起了一項推廣閱讀的活動。
illustrate,v.,闡明；舉例說明,The teacher used a diagram to illustrate the concept.,老師用圖表闡明了這個概念。
disrupt,v.,中斷；擾亂,A sudden power outage disrupted the class during the lecture.,一場突如其來的停電打斷了講座中的課程。
credible,adj.,可信的,You should always check if your sources of information are credible.,你應該總是檢查你的資訊來源是否可信。
undergo,v.,經歷,The old building will undergo a major renovation next year.,這棟老舊建築明年將進行一次大翻修。
negotiate,v.,談判,協商,We had to negotiate with our parents to extend our curfew.,我們必須和父母協商來延長宵禁時間。
embrace,v.,擁抱；欣然接受,We should embrace new challenges as opportunities for growth.,我們應該欣然接受新的挑戰，將其視為成長的機會。
interpret,v.,解釋；闡釋,It's important to interpret data correctly to avoid misunderstandings.,正確解釋數據以避免誤解很重要。
feasible,adj.,可行的,The plan to build a new library seems feasible within our budget.,建造新圖書館的計畫在我們的預算內似乎是可行的。
domain,n.,領域；範圍,Mathematics is a challenging domain for many high school students.,數學對許多高中生來說是一個具有挑戰性的領域。
intrigue,v.,引起好奇,這個神秘的古老故事引起了我的好奇心。,This mysterious ancient story intrigued my curiosity.
appropriate,adj.,合適的,It's important to use appropriate language in a formal essay.,在正式的論文中，使用恰當的語言很重要。
demonstrate,v.,示範；證明,The experiment will demonstrate the principles of physics.,這個實驗將展示物理學原理。
frustrate,v.,使沮喪,考試不及格讓他感到非常沮喪，但他決定下次要更努力。,Failing the exam frustrated him greatly, but he decided to try harder next time.
irrelevant,adj.,不相關的,你的個人意見與我們討論的主題不相關。,Your personal opinion is irrelevant to the topic we are discussing.
invoke,v.,援引,律師援引法律條文來支持他的論點。,The lawyer invoked legal precedents to support his argument.
method,n.,方法；方式,What's the most effective method for memorizing vocabulary?,記憶詞彙最有效的方法是什麼？
compromise,n.,妥協,After a long discussion, they reached a compromise on the group project.,經過長時間的討論，他們在小組專案上達成了妥協。
estimate,v.,估計；估價,I estimate that it will take about two hours to finish this essay.,我估計完成這篇論文大約需要兩個小時。
dispel,v.,驅散,The teacher tried to dispel the students' fears about the upcoming exam.,老師試圖驅散學生對即將到來的考試的恐懼。
characteristic,n.,特徵,Politeness is a characteristic of Japanese culture.,有禮貌是日本文化的一個特徵。
dimension,n.,尺寸,方面,We need to consider every dimension of the problem before making a decision.,在做決定之前，我們需要考慮問題的各個方面。
integrate,v.,整合,學校正努力將科技整合到日常教學中。,The school is trying to integrate technology into daily teaching.
indicate,v.,指出；表明,The survey results indicate that students prefer online courses.,調查結果表明學生更喜歡線上課程。
oblige,v.,迫使,Parents are obliged to provide their children with education.,父母有義務為孩子提供教育。
devise,v.,設計,想出,They had to devise a new strategy to solve the complex problem.,他們必須設計一個新的策略來解決這個複雜的問題。
maintain,v.,維持；保持,It's hard to maintain a good balance between study and social life.,很難在學習和社交生活之間保持良好平衡。
available,adj.,可用的；有空的,Is the meeting room available this afternoon?,會議室今天下午有空嗎？
convey,v.,傳達,She used a poem to convey her feelings of love and sorrow.,她用一首詩來傳達她的愛與悲傷。
capable,adj.,有能力的,She is capable of handling difficult tasks independently.,她有能力獨立處理困難的任務。
anticipate,v.,預期,The teacher anticipates that the project will take about two weeks to complete.,老師預期這個專案大約需要兩週才能完成。
hesitate,v.,猶豫,當被問到是否願意參加活動時，他猶豫了一下。,He hesitated when asked if he wanted to participate in the activity.
innovate,v.,創新,這家公司以其不斷創新的產品而聞名。,This company is known for its constantly innovating products.
tendency,n.,傾向,He has a tendency to procrastinate when faced with difficult tasks.,他在面對困難任務時有拖延的傾向。
deflect,v.,偏轉,The goalkeeper managed to deflect the ball away from the goal.,守門員成功地將球從球門前偏轉開來。
depict,v.,描繪,The novel vividly depicts life in a small rural village.,這部小說生動地描繪了一個小鄉村的生活。
debate,n.,辯論,There was a heated debate in class about the use of AI in education.,班上就AI在教育中的應用進行了一場激烈的辯論。
merge,v.,合併,The two small companies decided to merge to form a larger corporation.,這兩家小公司決定合併，形成一家更大的企業。
implement,v.,實施；執行,The school decided to implement a new policy on electronic devices.,學校決定實施一項關於電子設備的新政策。
essential,adj.,必要的,Healthy eating is essential for a good life.,健康飲食對美好生活至關重要。
oppose,v.,反對,Many students openly opposed the new policy on uniform changes.,許多學生公開反對關於制服變更的新政策。
utilize,v.,利用,學生應該學習如何有效利用圖書館資源。,Students should learn how to effectively utilize library resources.
generic,adj.,通用的；一般的,The store sells generic brands that are cheaper than name brands.,這家商店販售比名牌便宜的通用品牌商品。
speculate,v.,推測,猜測,It's pointless to speculate about what might have happened.,推測可能發生的事情是沒有意義的。
disperse,v.,分散；散開,After the assembly, the students dispersed to their classrooms.,集會結束後，學生們散開回到各自的教室。
emerge,v.,出現；浮現,New technologies constantly emerge, changing our daily lives.,新科技不斷湧現，改變著我們的日常生活。
conjecture,n.,推測,His theory was based on conjecture rather than solid evidence.,他的理論是基於推測而非確鑿證據。
intervene,v.,干預；介入,The teacher had to intervene to stop the argument between students.,老師不得不介入來阻止學生之間的爭吵。
criticize,v.,批評；評論,It's easy to criticize others, but harder to offer constructive solutions.,批評別人很容易，但提供建設性解決方案則更難。
community,n.,社區；社群,Our school encourages students to participate in community service.,我們學校鼓勵學生參與社區服務。
engage,v.,參與；從事,Students are encouraged to engage in extracurricular activities.,鼓勵學生參與課外活動。
assumption,n.,假設,Your argument is based on a false assumption.,你的論點是基於一個錯誤的假設。
habitat,n.,棲息地,砍伐森林破壞了許多野生動物的棲息地。,Deforestation destroys the habitat of many wild animals.
distort,v.,扭曲,The media can sometimes distort the truth to create a more dramatic story.,媒體有時會扭曲事實以製造更戲劇性的故事。
dominate,v.,主導；支配,Mobile phones now dominate the communication market.,手機現在主導著通訊市場。
deduce,v.,推斷,From the evidence, we can deduce that the suspect was at the scene.,從證據中，我們可以推斷嫌疑犯當時在現場。
exclude,v.,排除,The list of candidates excludes those who didn't meet the requirements.,候選人名單排除了那些不符合要求的人。
enable,v.,使能夠,This scholarship will enable me to pursue my dream of studying abroad.,這項獎學金將使我能夠追求出國留學的夢想。
fundamental,adj.,基本的；根本的,Understanding fundamental math concepts is essential for higher-level studies.,理解基本的數學概念對於更高級的學習至關重要。
contemplate,v.,沉思；仔細考慮,He spent hours contemplating his future career path.,他花了數小時沉思他未來的職涯道路。
elicit,v.,引出,The teacher's question was designed to elicit thoughtful responses from students.,老師的問題旨在引出學生深思熟慮的回應。
exploit,v.,利用；剝削,Some companies exploit natural resources without considering environmental impact.,有些公司利用自然資源卻不考慮環境影響。
flexible,adj.,彈性的；靈活的,Our study schedule is flexible, allowing us to adjust it as needed.,我們的學習時間表很彈性，可以根據需要調整。
access,v.,取得；進入,Students can access a wide range of learning materials online.,學生可以線上取得各種學習資料。
expand,v.,擴大；拓展,Reading widely helps to expand your knowledge base.,廣泛閱讀有助於擴展你的知識基礎。
corporate,adj.,公司的；法人的,Many young people dream of working in a large corporate environment.,許多年輕人夢想在大型企業環境中工作。
validate,v.,驗證,使生效,The experiment results helped to validate our hypothesis.,實驗結果有助於驗證我們的假設。
enroll,v.,註冊,Many students plan to enroll in summer courses to catch up.,許多學生計畫註冊暑期課程以趕上進度。
domestic,adj.,國內的;家庭的,The company focuses on both domestic and international markets.,這家公司同時專注於國內外市場。
circumstance,n.,情況；環境,Under no circumstances should you cheat on an exam.,在任何情況下你都不應該考試作弊。
perceive,v.,察覺,People often perceive me as shy, but I'm actually quite outgoing once I get to know them.,人們常覺得我很害羞，但一旦我認識他們，我其實很外向。
cohesive,adj.,有凝聚力的,A cohesive team works together effectively to achieve common goals.,一個有凝聚力的團隊能有效合作以達成共同目標。
concrete,adj.,具體的；實體的,We need concrete evidence to support your hypothesis.,我們需要具體的證據來支持你的假設。
elucidate,v.,闡明,Can you elucidate your point further to make it clearer?,你能進一步闡明你的觀點，讓它更清楚嗎？
predominant,adj.,主要的,The predominant color in the painting was blue, giving it a calm feeling.,這幅畫中主要的顏色是藍色，給人一種平靜的感覺。
compel,v.,強迫,The severe weather compelled the school to cancel classes.,惡劣的天氣迫使學校停課。
consensus,n.,共識,After a long discussion, the committee reached a consensus.,經過長時間討論，委員會達成了共識。
depend,v.,依賴；取決於,Your success will depend on how much effort you put in.,你的成功將取決於你投入多少努力。
fulfill,v.,履行；實現,She worked hard to fulfill her dream of getting into a top university.,她努力實現進入頂尖大學的夢想。
design,v.,設計,She wants to study architecture to learn how to design beautiful and functional buildings.,她想學建築，學習如何設計美觀實用的建築。
eradicate,v.,根除,Scientists are working to eradicate diseases like malaria.,科學家們正在努力根除瘧疾等疾病。
aware,adj.,意識到的；察覺到的,Students should be aware of the importance of environmental protection.,學生應該意識到環境保護的重要性。
aspect,n.,方面；層面,We should consider every aspect of the project before making a decision.,在做決定之前，我們應該考慮這個專案的每個方面。
glimpse,n.,一瞥,我只在人群中瞥見了他一眼，然後他就消失了。,I only caught a brief glimpse of him in the crowd before he disappeared.
denote,v.,表示；意指,In this diagram, the red line denotes the growth rate.,在這張圖表中，紅線表示成長率。
constant,adj.,持續的；不斷的,Students face constant pressure to perform well in exams.,學生面臨著在考試中表現良好的持續壓力。
restrict,v.,限制,學校限制學生在課堂上使用手機。,The school restricts students from using mobile phones in class.
component,n.,構成要素,Trust is a crucial component of any successful team.,信任是任何成功團隊的關鍵構成要素。
elevate,v.,提升,Good nutrition can elevate your mood and energy levels.,良好的營養可以提升你的情緒和能量水平。
exaggerate,v.,誇大,Don't exaggerate the difficulties; it's not as hard as you think.,不要誇大困難；它沒有你想像的那麼難。
deviate,v.,偏離,The pilot had to deviate from the planned flight path due to bad weather.,由於惡劣天氣，飛行員不得不偏離原定的飛行路線。
criteria,n.,標準,What are the main criteria for evaluating a good essay?,評估一篇好文章的主要標準是什麼？
conserve,v.,保育，節省,We should conserve water by taking shorter showers.,我們應該透過縮短淋浴時間來節省用水。
bias,n.,偏見,It's important to recognize and avoid personal bias when writing an essay.,寫作時，辨識並避免個人偏見很重要。
inhibit,v.,抑制,害羞可能會抑制一個人在公開場合表達自己。,Shyness can inhibit a person from expressing themselves in public.
concentrate,v.,專注,It's hard to concentrate on studying when there's so much noise.,當噪音這麼大時，很難專注於學習。
impact,n.,影響；衝擊,Climate change has a significant impact on our planet.,氣候變遷對我們的地球有著重大影響。
conceal,v.,隱藏,She tried to conceal her disappointment with a smile.,她試圖用微笑來掩飾她的失望。
valid,adj.,有效的,Your student ID card is only valid for this academic year.,你的學生證只在本學年有效。
exhibit,v.,展示,The museum will exhibit ancient artifacts from Egypt next month.,博物館下個月將展出埃及的古代文物。
subsequent,adj.,隨後的,The initial plan failed, but subsequent attempts proved more successful.,最初的計畫失敗了，但隨後的嘗試證明更成功。
omit,v.,遺漏,Please do not omit any important details when writing your report.,請在撰寫報告時不要遺漏任何重要細節。
explore,v.,探索,We will explore different career options during our guidance class.,我們將在輔導課上探索不同的職業選擇。
